PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ACONSELHAMENTO GENÉTICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,109,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO PEDIÁTRICO A GESTANTES (3o TRIMESTRE),,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM
NECESSIDADES ESPECIAIS",,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,,,86,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
